Ctgry,Itm,Srvng_Sz,Clrs,Clrs_frm_Ft,Ttl_Ft,Ttl_Ft_PrDV,Strtd_Ft,Strtd_Ft_PrDV,Trns_Ft,Chlstrl,Chlstrl_PrDV,Sdm,Sdm_PrDV,Crbhydrts,Crbhydrts_PrDV,Dtry_Fbr,Dtry_Fbr_PrDV,Sgrs,Prtn,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV,Srvng_mag,Srvng_unit,Cnt
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,130,15.0,23,4.5,22,0.0,0.03,11,0.78,33,37,12,1,6,8,14,4,0,10,10,130.0,g,1
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,70,8.0,13,3.5,18,0.0,0.04,14,0.7,29,30,10,1,6,7,16,4,2,10,10,123.0,g,1
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,130,15.0,23,4.5,22,0.0,0.035,11,0.73,30,34,11,1,5,3,14,2,0,10,10,123.0,g,1
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,70,8.0,13,3.5,18,0.0,0.045,14,0.65,27,27,9,1,5,2,16,2,2,10,10,116.0,g,1
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,180,20.0,30,5.0,27,0.0,0.04,13,0.81,34,32,11,1,5,3,15,2,0,10,10,128.0,g,1
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,120,13.0,20,4.5,22,0.0,0.045,16,0.72,30,25,8,1,5,2,16,2,2,10,10,121.0,g,1
Snacks & Sides,Small French Fries,2.6 oz (75 g),230,100,11.0,17,1.5,8,0.0,0.0,0,0.13,5,30,10,2,10,0,2,0,30,0,4,75.0,g,1
Snacks & Sides,Medium French Fries,3.9 oz (111 g),340,140,16.0,24,2.5,11,0.0,0.0,0,0.19,8,44,15,4,14,0,4,0,45,2,4,111.0,g,1
Snacks & Sides,Large French Fries,5.9 oz (168 g),510,220,24.0,37,3.5,17,0.0,0.0,0,0.29,12,67,22,5,22,0,6,0,70,2,8,168.0,g,1
Snacks & Sides,Kids French Fries,1.3 oz (38 g),110,50,5.0,8,1.0,4,0.0,0.0,0,0.065,3,15,5,1,5,0,1,0,15,0,2,38.0,g,1
Snacks & Sides,Side Salad,3.1 oz (87 g),20,0,0.0,0,0.0,0,0.0,0.0,0,0.01,0,4,1,1,6,2,1,45,25,2,4,87.0,g,1
Snacks & Sides,Apple Slices,1.2 oz (34 g),15,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,4,1,0,0,3,0,0,160,2,0,34.0,g,1
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),150,20,2.0,3,1.0,5,0.0,0.005,2,0.07,3,30,10,1,3,23,4,2,15,10,4,149.0,g,1
Desserts,Baked Apple Pie,2.7 oz (77 g),250,110,13.0,19,7.0,35,0.0,0.0,0,0.17,7,32,11,4,15,13,2,4,25,2,6,77.0,g,1
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160,70,8.0,12,3.5,19,0.0,0.01,3,0.09,4,21,7,1,3,15,2,2,0,2,8,33.0,g,1
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150,50,6.0,9,2.5,13,0.0,0.01,3,0.135,6,22,7,1,3,13,2,2,0,2,6,33.0,g,1
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,10,1.5,2,1.0,4,0.0,0.005,2,0.02,1,7,2,0,0,6,1,2,0,4,0,29.0,g,1
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330,80,9.0,14,7.0,34,0.0,0.025,8,0.17,7,53,18,1,3,48,8,8,0,25,8,179.0,g,1
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340,70,8.0,12,5.0,24,0.0,0.03,10,0.15,6,60,20,0,0,43,7,10,0,25,0,182.0,g,1
Desserts,Strawberry Sundae,6.3 oz (178 g),280,60,6.0,10,4.0,20,0.0,0.025,8,0.085,4,49,16,0,0,45,6,8,4,20,0,178.0,g,1
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,39,13,0,0,39,0,0,0,0,0,473.184,ml,1
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200,0,0.0,0,0.0,0,0.0,0.0,0,0.005,0,55,18,0,0,55,0,0,0,0,0,621.0540000000001,ml,1
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280,0,0.0,0,0.0,0,0.0,0.0,0,0.005,0,76,25,0,0,76,0,0,0,0,0,887.22,ml,1
Beverages,Coca-Cola Classic (Child),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,28,9,0,0,28,0,0,0,0,0,354.88800000000003,ml,1
