Ctgry,Itm,Srvng_unit,Srvng_mag,Clrs,Clrs_frm_Ft,Ttl_Ft,Strtd_Ft,Trns_Ft,Chlstrl,Sdm,Crbhydrts,Dtry_Fbr,Sgrs,Prtn
Beverages,Dasani Water Bottle,ml,499.8006,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Coffee & Tea,Iced Tea (Small),ml,473.184,0,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,0,0,0,0
Coffee & Tea,Iced Tea (Medium),ml,621.0540000000001,0,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,0,0,0,0
Coffee & Tea,Iced Tea (Large),ml,887.22,0,0,0.0,0.0,0.0,0.0,1.4999999999999999e-92,0,0,0,0
Coffee & Tea,Iced Tea (Child),ml,354.88800000000003,0,0,0.0,0.0,0.0,0.0,5.000000000000002e-93,0,0,0,0
Coffee & Tea,Sweet Tea (Small),ml,473.184,150,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,36,0,36,1
Coffee & Tea,Sweet Tea (Medium),ml,621.0540000000001,180,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,45,0,45,1
Coffee & Tea,Sweet Tea (Large),ml,887.22,220,0,0.0,0.0,0.0,0.0,1.0000000000000003e-92,54,0,54,1
Coffee & Tea,Sweet Tea (Child),ml,354.88800000000003,110,0,0.0,0.0,0.0,0.0,5.000000000000002e-93,27,0,27,0
Coffee & Tea,Coffee (Small),ml,354.88800000000003,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Coffee & Tea,Coffee (Medium),ml,473.184,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Coffee & Tea,Coffee (Large),ml,473.184,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Coffee & Tea,Latte (Small),ml,354.88800000000003,170,80,9.0,5.0,0.0,2.499999999999999e-92,1.15e-91,15,1,12,9
Coffee & Tea,Latte (Medium),ml,473.184,210,90,10.0,6.0,0.0,2.9999999999999998e-92,1.4000000000000002e-91,18,1,15,11
Coffee & Tea,Latte (Large),ml,591.48,280,120,14.0,8.0,0.0,4.000000000000001e-92,1.8e-91,24,1,20,15
Coffee & Tea,Caramel Latte (Small),ml,354.88800000000003,270,80,9.0,5.0,0.0,2.499999999999999e-92,1.15e-91,40,1,38,9
Coffee & Tea,Caramel Latte (Medium),ml,473.184,340,90,10.0,6.0,0.0,2.9999999999999998e-92,1.4000000000000002e-91,50,1,48,11
Coffee & Tea,Caramel Latte (Large),ml,591.48,430,120,14.0,8.0,0.0,4.000000000000001e-92,1.8e-91,62,1,59,15
Coffee & Tea,Hazelnut Latte (Small),ml,354.88800000000003,270,80,9.0,5.0,0.0,2.499999999999999e-92,1.15e-91,40,1,38,9
Coffee & Tea,Hazelnut Latte (Medium),ml,473.184,330,90,10.0,6.0,0.0,2.9999999999999998e-92,1.4000000000000002e-91,50,1,47,11
Coffee & Tea,Hazelnut Latte (Large),ml,591.48,430,120,14.0,8.0,0.0,4.000000000000001e-92,1.8e-91,62,1,58,15
Coffee & Tea,French Vanilla Latte (Small),ml,354.88800000000003,260,80,9.0,5.0,0.0,2.499999999999999e-92,1.15e-91,38,1,36,9
Coffee & Tea,French Vanilla Latte (Medium),ml,473.184,330,90,10.0,6.0,0.0,2.9999999999999998e-92,1.4000000000000002e-91,48,1,45,11
Coffee & Tea,French Vanilla Latte (Large),ml,591.48,420,120,14.0,8.0,0.0,4.000000000000001e-92,1.9000000000000002e-91,60,1,56,15
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),ml,354.88800000000003,210,80,9.0,5.0,0.0,2.499999999999999e-92,1.4999999999999993e-91,24,1,12,9
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),ml,473.184,260,90,10.0,6.0,0.0,2.9999999999999998e-92,1.9000000000000002e-91,29,1,15,12
