Ctgry,Itm,Srvng_unit,Srvng_mag,Ttl_Ft_PrDV,Strtd_Ft_PrDV,Chlstrl_PrDV,Sdm_PrDV,Crbhydrts_PrDV,Dtry_Fbr_PrDV,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),ml,354.88800000000003,1,0,1,2,17,12,0,2,6,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),ml,473.184,1,0,1,2,21,15,0,4,8,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),ml,650.628,2,3,2,3,26,19,0,4,10,2
Smoothies & Shakes,Strawberry Banana Smoothie (Small),ml,354.88800000000003,1,0,1,2,16,10,0,30,8,2
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),ml,473.184,1,0,1,2,19,13,0,35,8,4
Smoothies & Shakes,Strawberry Banana Smoothie (Large),ml,650.628,2,3,2,3,25,16,0,45,10,4
Smoothies & Shakes,Mango Pineapple Smoothie (Small),ml,354.88800000000003,1,0,1,2,17,4,30,20,8,2
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),ml,473.184,1,0,1,2,20,5,40,25,8,2
Smoothies & Shakes,Mango Pineapple Smoothie (Large),ml,650.628,2,3,2,3,26,6,50,30,10,2
Smoothies & Shakes,Vanilla Shake (Small),ml,354.88800000000003,24,49,20,7,29,0,20,0,40,0
Smoothies & Shakes,Vanilla Shake (Medium),ml,473.184,29,61,24,9,36,0,25,0,50,0
Smoothies & Shakes,Vanilla Shake (Large),ml,650.628,35,73,29,11,45,0,30,0,60,0
Smoothies & Shakes,Strawberry Shake (Small),ml,354.88800000000003,25,52,21,7,30,0,20,0,40,0
Smoothies & Shakes,Strawberry Shake (Medium),ml,473.184,30,63,25,9,38,0,25,0,50,0
Smoothies & Shakes,Strawberry Shake (Large),ml,650.628,36,75,30,11,47,0,30,0,70,0
Smoothies & Shakes,Chocolate Shake (Small),ml,354.88800000000003,25,51,20,10,30,5,20,0,40,8
Smoothies & Shakes,Chocolate Shake (Medium),ml,473.184,30,62,24,13,38,6,25,0,50,10
Smoothies & Shakes,Chocolate Shake (Large),ml,650.628,36,74,29,16,47,8,30,0,60,15
Smoothies & Shakes,Shamrock Shake (Medium),ml,473.184,29,61,24,9,36,0,25,0,50,0
Smoothies & Shakes,Shamrock Shake (Large),ml,650.628,35,73,29,11,45,0,30,0,60,0
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),g,310.0,35,72,17,7,32,6,15,0,45,8
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),g,460.0,50,102,25,11,46,7,25,0,70,10
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),g,207.0,24,48,11,5,21,4,10,0,30,4
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),g,285.0,26,44,14,12,27,4,15,0,40,8
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),g,381.0,35,58,19,16,35,5,20,0,50,10
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),g,190.0,17,29,9,8,18,2,10,0,25,6
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),g,403.0,50,76,20,17,38,9,20,0,60,6
